Date,PX_Last,30MA,Bank,S/S_A,S_U,S_L,s,Leakage Ratio,kappa,kappa_SE,kappa_lb,kappa_ub,kappa_z,theta,theta_SE,theta_lb,theta_ub,theta_z,sigma,sigma_SE,sigma_lb,sigma_ub,sigma_z
19/3/2010,3.253,3.3012,0.25,0.9853992490000001,9.9036,0,0.398191251,0.001182635,0.063610744,0.013441406000000001,0.037265589,0.08995589999999999,4.73244728,0.403188754,0.004017179,0.39531508200000004,0.411062425,100.3661338,0.011014754,0.000293678,0.010439144000000001,0.011590363000000001,37.50620269
22/3/2010,3.214,3.2995666669999997,0.25,0.974067302,9.8987,0,0.39258210200000004,0.001186942,0.063440275,0.01344727,0.037083626,0.089796924,4.717706698,0.40310316399999996,0.004028958,0.395206406,0.410999921,100.05147029999999,0.011018827,0.000293795,0.010442988,0.011594666000000002,37.50509842
23/3/2010,3.201,3.2972,0.25,0.970823729,9.8916,0,0.39098235600000003,0.001188043,0.063396952,0.013446356000000001,0.037042095,0.089751809,4.714805472,0.40302619100000003,0.004031407,0.395124634,0.410927748,99.97160419,0.01101912,0.000293804,0.010443265,0.011594975,37.50506052
24/3/2010,3.2230000000000003,3.294466667,0.25,0.97830706,9.8834,0,0.394677039,0.001185553,0.063547516,0.013448696999999999,0.037188071,0.089906961,4.7251802860000005,0.403078659,0.0040229820000000005,0.395193615,0.410963704,100.19400209999999,0.011021345,0.000293864,0.010445371,0.011597318999999998,37.50487744
25/3/2010,3.281,3.292266667,0.25,0.9965778390000001,9.8768,0,0.40375549,0.001181924,0.063870338,0.013467076000000001,0.03747487,0.09026580599999999,4.742702829,0.40321787,0.004008354,0.39536149600000003,0.411074244,100.59437729999999,0.011034288,0.000294232,0.010457593000000001,0.011610983,37.50198109
26/3/2010,3.299,3.292033333,0.25,1.00211622,9.8761,0,0.40652377799999995,0.001178461,0.064046454,0.013468777,0.037647652000000004,0.090445256,4.755179823,0.40317233799999996,0.003996437,0.39533932200000005,0.411005354,100.8829493,0.011032666000000002,0.00029419,0.010456054000000001,0.011609278999999998,37.50181264
29/3/2010,3.287,3.290166667,0.25,0.9990375359999999,9.8705,0,0.404983992,0.001176253,0.064181297,0.013474646000000002,0.037770992,0.090591603,4.763115748,0.403098759,0.003987649,0.395282966,0.410914551,101.0868157,0.011032918000000001,0.000294204,0.010456278000000001,0.011609558,37.50091472
30/3/2010,3.278,3.2879,0.25,0.99698896,9.8637,0,0.40396072,0.0011756610000000002,0.064221683,0.013480988000000001,0.037798947,0.090644419,4.763870699,0.40306867,0.003985076,0.39525792,0.41087942,101.14452709999999,0.011033198000000001,0.000294219,0.010456528,0.011609868999999998,37.49988945
31/3/2010,3.255,3.2850666669999997,0.25,0.9908474709999999,9.8552,0,0.400899283,0.001174937,0.06429365,0.01348898,0.037855249,0.090732052,4.766383268,0.40298463,0.003980704,0.395182451,0.41078681,101.2345123,0.011034826000000001,0.000294273,0.010458051,0.011611601000000001,37.49859189
1/4/2010,3.2489999999999997,3.280433333,0.25,0.9904179329999999,9.8413,0,0.400685515,0.001174743,0.064307106,0.013494728999999999,0.037857437,0.090756775,4.765349846,0.402973194,0.0039798609999999995,0.39517266799999995,0.41077372100000004,101.2530921,0.011034915,0.000294284,0.010458119,0.011611711,37.49754114
