Date,Price,1MA,S/S_A,S_U,S_L,s,Leakage Ratio,kappa,kappa_SE,kappa_lb,kappa_ub,kappa_z,theta,theta_SE,theta_lb,theta_ub,theta_z,sigma,sigma_SE,sigma_lb,sigma_ub,sigma_z
2017-03-30,-0.262,-0.262,1.0000000000000002,0.5,-0.5,0.2718087232954908,0.136343439637446,0.0032910844085949995,0.002422475811328,-0.00145696818160788,0.00803913699879788,1.35856234072804,0.30830684280818604,0.189722296597788,-0.06354885852347841,0.6801625441398504,1.6250427510995111,0.023523839694138,0.0006085044389269999,0.02233117099384108,0.02471650839443492,38.65845208232994
2017-03-31,-0.251,-0.2509999999999999,1.0000000000000004,0.5,-0.5,0.28634962721800233,0.126027076715058,0.0034384509313640003,0.002426439888776,-0.0013173712506369599,0.00819427311336496,1.4170764943609009,0.319771814967602,0.17802517221021802,-0.02915752256442533,0.6687011524996294,1.7962168551647542,0.023543088408398,0.0006090046978089999,0.02234943920069236,0.024736737616103642,38.65830344672388
2017-04-02,-0.235,-0.2349999999999999,1.0000000000000004,0.5,-0.5,0.3078847797693004,0.11690237907223801,0.0035560468033649997,0.002433583297743,-0.00121377646021128,0.00832587006694128,1.4612389913521608,0.334639983298914,0.16839930028530198,0.004577354739722096,0.6647026118581059,1.987181554388688,0.023589260129029,0.0006102031266619999,0.02239326200077148,0.02478525825728652,38.65804532673444
2017-04-03,-0.22399999999999998,-0.22399999999999987,1.0000000000000004,0.5,-0.5,0.3229638865964207,0.111109371867615,0.0036532977378550004,0.002438320155067,-0.0011258097660763198,0.00843240524178632,1.498284681879169,0.34331019243788896,0.161935628014597,0.025916361529278897,0.660704023346499,2.120041133918616,0.023609741087182,0.0006107357407769999,0.02241269903525908,0.024806783139104917,38.65786707873545
2017-04-04,-0.221,-0.22099999999999986,1.0000000000000009,0.5,-0.5,0.327116141697188,0.110322889192529,0.0036529841609240004,0.002441185669262,-0.0011317397508295204,0.00843770807267752,1.496397511635837,0.345829286662398,0.161264237876115,0.02975138042521258,0.6619071928995834,2.14448839505302,0.023611174347289,0.0006107743705880001,0.02241405658093652,0.02480829211364148,38.657768701965644
2017-04-05,-0.22399999999999998,-0.22399999999999984,1.0000000000000009,0.5,-0.5,0.3229638865964207,0.11249153900680199,0.0035997843009809996,0.002443742799967,-0.0011899515869543205,0.008389520188916321,1.473061854557344,0.344144403413305,0.1638394581153,0.023019065507317027,0.665269741319293,2.100497690679116,0.023610137692259996,0.000610748986881,0.02241306967797324,0.02480720570654676,38.6576780304593
2017-04-06,-0.22399999999999998,-0.22399999999999987,1.0000000000000004,0.5,-0.5,0.3229638865964207,0.110313563175744,0.003677738884197,0.00244586624971,-0.0011161589652346005,0.0084716367336286,1.5036549462317532,0.343338427837717,0.16035783900083098,0.029037063396088306,0.6576397922793458,2.141076669385261,0.023604570624011,0.000610606428835,0.0224077820234944,0.0248013592245276,38.657586146061725
2017-04-07,-0.231,-0.2309999999999999,1.0000000000000009,0.5,-0.5,0.3133418192323586,0.113036409722799,0.0036460080409540002,0.0024493343039510003,-0.0011546871947899608,0.00844670327669796,1.488571010936943,0.338199487447086,0.162765259443685,0.01917957893746341,0.6572193959567085,2.077835826901994,0.023612091458124998,0.0006108028450410001,0.022414917881844642,0.02480926503440536,38.65746803542519
2017-04-09,-0.222,-0.22199999999999984,1.0000000000000009,0.5,-0.5,0.32573014008931084,0.10918711445144501,0.0037034768558209994,0.002453592001161,-0.0011055634664545603,0.008512517178096559,1.509410225525745,0.345113879327579,0.158715415525512,0.034031664897575475,0.6561960937575825,2.174419404598451,0.023626626742974,0.000611181524087,0.02242871095576348,0.02482454253018452,38.65729871051188
2017-04-10,-0.223,-0.22299999999999984,1.0000000000000009,0.5,-0.5,0.3243460568233724,0.109515077325934,0.0036989470973499998,0.002456338990671,-0.0011154773243651594,0.00851337151906516,1.50587810208531,0.34450360369306604,0.158855739443519,0.03314635438376884,0.6558608530023633,2.168656951897884,0.023626690778258998,0.000611184516074,0.022428769126753963,0.02482461242976404,38.65721424035527
