Date,ust2yyield,15MA,S/S_A,S_U,S_L,s,Leakage Ratio,kappa,kappa_SE,kappa_lb,kappa_ub,kappa_z,theta,theta_SE,theta_lb,theta_ub,theta_z,sigma,sigma_SE,sigma_lb,sigma_ub,sigma_z
2019-09-11,1.6742,1.5418533333333493,1.0858360933594955,2.312780000000024,0.0,1.286958581856904,0.0024045076552479997,0.108723499378671,0.018177449356607,0.07309569863972129,0.1443513001176207,5.981229667910041,1.114557491329998,0.012123546143211,1.0907953408893043,1.1383196417706916,91.93329065309122,0.034139411185843,0.000931434424161,0.03231379971448745,0.035965022657198566,36.652511760643975
2019-09-12,1.7192,1.5489933333333492,1.109882116987796,2.323490000000024,0.0,1.3467714295053528,0.0025042703510710002,0.103562839647968,0.018045220666448,0.06819420714172991,0.1389314721542061,5.7390730522084725,1.116728290373315,0.012720676721221002,1.0917957639997218,1.141660816746908,87.78843412555078,0.034036612927752,0.000928100416647,0.03221753611112388,0.035855689744380116,36.67341627827889
2019-09-13,1.7999,1.5667733333333491,1.1487941246553313,2.350160000000024,0.0,1.4518477961279619,0.002678645543746,0.09737166544147599,0.017968358533633,0.062153682715555325,0.13258964816739668,5.419062918809022,1.1191353540385671,0.01362760683954,1.092425244633069,1.1458454634440656,82.12266227049166,0.034170019518672996,0.000931532251702,0.032344216305337084,0.035995822732008916,36.6815206411286
2019-09-16,1.7593,1.5814533333333491,1.1124577392946464,2.372180000000024,0.0,1.353395484358713,0.0025833369982199996,0.10183945064366401,0.01789470770098,0.0667658235497432,0.1369130777375848,5.691037391914787,1.1182779281776007,0.013056412822025,1.0926873590464317,1.1438684973087698,85.64970665534885,0.034304684396099995,0.000934671240989,0.03247272876376155,0.03613664002843844,36.70240710498978
2019-09-17,1.7248,1.5949533333333483,1.0814109503726237,2.3924300000000227,0.0,1.2763307369347188,0.002525304673422,0.10469455191231096,0.017864416641705003,0.06968029529456915,0.13970880853005274,5.8605077351309145,1.117848941496311,0.012717370329233,1.0929228956510144,1.1427749873416078,87.89937798121521,0.034382740390566,0.000936548504407,0.032547105321928275,0.03621837545920372,36.71218332930517
2019-09-18,1.7621,1.6124266666666818,1.0928248933284717,2.418640000000023,0.0,1.3039770566511493,0.002550804381407,0.10353334745901,0.017810646984847,0.06862447936870987,0.1384422155493101,5.813003174286237,1.118855306941388,0.012873042633345,1.0936241433800318,1.1440864705027445,86.91459655724422,0.034379191874886,0.000936203704729,0.03254423261361716,0.03621415113615484,36.72191393949948
2019-09-19,1.7378,1.626946666666682,1.0681358126879699,2.440420000000023,0.0,1.2451092294964798,0.002491995816716,0.10609362961371699,0.017792493269517,0.07122034280546369,0.14096691642197032,5.962830953854038,1.118890564404093,0.012565948230293002,1.0942613058727186,1.1435198229354673,89.04147493674374,0.034398706308276,0.000936558895665,0.0325630508727726,0.036234361743779406,36.728823427421226
2019-09-20,1.683,1.6388800000000152,1.0269208239773409,2.4583200000000227,0.0,1.1539576214382945,0.002490614645276,0.10650934695968499,0.017806346247808,0.07160890831398133,0.1414097856053887,5.981538574922358,1.116996075450747,0.012495218798164,1.0925054466063455,1.1414867042951484,89.39387885027277,0.034427298809296,0.000937402052988,0.03258999078543952,0.03626460683315248,36.72628910887094
2019-09-23,1.6812,1.6506933333333484,1.0184811230836242,2.4760400000000224,0.0,1.136274952225213,0.0024895837293759998,0.105952336648885,0.017740960228666,0.07118005460069964,0.14072461869707034,5.972187259497027,1.115825810369146,0.012504338625546002,1.091317306663076,1.1403343140752162,89.23509221747767,0.034312063354487006,0.000933944036497,0.032481533042952884,0.036142593666021135,36.73888585787249
2019-09-24,1.6256,1.6622666666666817,0.9779417662629252,2.4934000000000225,0.0,1.0554412465466074,0.002468561319989,0.10717761562411901,0.017763808040281,0.07236055186516824,0.14199467938306976,6.033481975322106,1.1137277419774652,0.012351143436378002,1.0895195008421643,1.1379359831127658,90.17203530299477,0.034331558579344,0.000934557166908,0.032499826532204325,0.03616329062648368,36.735643141998366
2019-09-25,1.6795,1.6787733333333483,1.000432855735925,2.518160000000023,0.0,1.0994783750845474,0.002421027001816,0.10929047781488499,0.017799499844268003,0.07440345812011973,0.14417749750965028,6.140087012056093,1.1134565057430001,0.012110110903149,1.089720688372828,1.137192323113172,91.94436901923343,0.034328719429278995,0.000934599639505,0.032496904135849186,0.0361605347227088,36.73093587694983
2019-09-26,1.6555,1.6874066666666818,0.9810912998644776,2.5311100000000226,0.0,1.061492434359722,0.0024289779166420003,0.10915948660167901,0.017860989593307997,0.07415194699879532,0.14416702620456268,6.11161470261289,1.112962319392802,0.012131801382345,1.0891839886834058,1.1367406501021982,91.7392466556884,0.034356803546963,0.000935689965981,0.032522851213640236,0.036190755880285766,36.71814895541215
2019-09-27,1.6315,1.6934933333333484,0.9633932226876116,2.5402400000000225,0.0,1.0279548190771792,0.002185157861332,0.115862842030618,0.017515075594116,0.08153329386615064,0.15019239019508535,6.6150352253996125,1.109610375950533,0.011144667479983,1.0877668276897663,1.1314539242112995,99.56424253514038,0.033521909351285,0.000911001120531,0.03173634715504424,0.035307471547525754,36.796781689751576
2019-09-30,1.6217,1.6954200000000152,0.9565181488952504,2.5431300000000228,0.0,1.015224073718139,0.002224837563338,0.11354479149154,0.017676008741432,0.07889981435833328,0.1481897686247467,6.4236668555948375,1.1095644349533071,0.011356449319885,1.0873057942863324,1.1318230756202818,97.7034637939617,0.033484130225759,0.000910850967483,0.031698862329492324,0.03526939812202568,36.761370873105434
2019-10-01,1.5459,1.6867466666666815,0.9164980317139024,2.530120000000023,0.0,0.9441725621284248,0.0022375980939759997,0.11391066766302801,0.017881047015716998,0.07886381551222267,0.14895751981383332,6.370469668968775,1.1080699868269759,0.011361385858918998,1.085801670543495,1.1303383031104572,97.52947400840787,0.033611417771739004,0.000915346644615,0.0318173383482936,0.035405497195184404,36.71987871422417
