Date,ust3myieldzc,90MA,S/S_A,S_U,S_L,s,Leakage Ratio,kappa,kappa_SE,kappa_lb,kappa_ub,kappa_z,theta,theta_SE,theta_lb,theta_ub,theta_z,sigma,sigma_SE,sigma_lb,sigma_ub,sigma_z
2010-07-07,0.16699999999999998,0.1515777777777812,1.1017446122269212,0.7199944444444607,0.0,0.26389554067164905,0.30479760646492304,0.013898933686386002,0.006274359635665,0.001601188800482602,0.026196678572289404,2.2151955726893666,0.216748359828526,0.075461700733979,0.06884342638992716,0.3646532932671248,2.8722962472396136,0.060604437278332,0.00158068658067,0.0575062915802188,0.0637025829764452,38.3405780876892
2010-07-08,0.155,0.15168888888889231,1.021828303545245,0.7205222222222385,0.0,0.2422266663677712,0.3046058507616161,0.014158274866095,0.006273075572551,0.0018630467438950395,0.02645350298829496,2.256990961187861,0.21292720125200496,0.072742120147788,0.07035264576234049,0.3555017567416694,2.927151433301726,0.060606591298152004,0.0015807357557910005,0.05750834921680164,0.06370483337950236,38.340748019469736
2010-07-09,0.156,0.15171111111111454,1.028270103998805,0.7206277777777941,0.0,0.2439560320457136,0.30460771980668,0.014238928028455,0.006270962233684,0.0019478420504343613,0.02653001400647564,2.270612945485585,0.21163037301162801,0.07186454533941,0.0707758641463844,0.35248488187687155,2.9448509277017685,0.060593786815467995,0.001580393518303,0.05749621551959413,0.06369135811134187,38.34094870279064
2010-07-12,0.149,0.15161111111111453,0.9827775742029826,0.720152777777794,0.0,0.2318066452085298,0.304531414192418,0.014259398816515,0.006270641661211,0.00196894116054144,0.02654985647248856,2.273993569863769,0.21139601917891604,0.07167931678843599,0.0709045582735815,0.3518874800842506,2.949191323947169,0.060596153299769015,0.001580453132164,0.057498465160727576,0.06369384143881046,38.34099984781599
2010-07-13,0.162,0.15157777777778125,1.0687582465913843,0.7199944444444608,0.0,0.254894489791947,0.30481546736996995,0.013990950403277,0.0062703116839240005,0.0017011395027859595,0.02628076130376804,2.231300628826391,0.215311231627025,0.074424414034985,0.06943938011845441,0.3611830831355956,2.8930188355371214,0.060604580189675995,0.0015806752690710002,0.05750645666229684,0.06370270371705516,38.340942871395995
2010-07-14,0.155,0.15157777777778125,1.0225773347016334,0.7199944444444608,0.0,0.2424275976745363,0.30459635893504905,0.014008551079378,0.006268793139600001,0.001721716525761998,0.026295385632994,2.2346488019977806,0.215197786599719,0.07427742779969299,0.06961402811232076,0.3607815450871173,2.8972164623154537,0.06060491668477,0.0015806762433699998,0.0575067912477648,0.0637030421217752,38.34113211922303
2010-07-15,0.157,0.15160000000000345,1.0356200527704251,0.7201000000000164,0.0,0.24593285899424194,0.304790892256399,0.014074170733351004,0.006265599452593001,0.0017935958062687222,0.026354745660433283,2.2462608470009138,0.21394180541129496,0.073461436634977,0.06995738960674003,0.3579262212158499,2.9123008643889285,0.060588503258862,0.001580237420461,0.057491237914758436,0.06368576860296557,38.34139254921651
2010-07-16,0.156,0.15163333333333678,1.0287975379203986,0.7202583333333498,0.0,0.244097759498578,0.304803746268901,0.014085091576513003,0.006264392043322,0.0018068831716018825,0.02636329998142412,2.2484371155421967,0.213767335445083,0.073333975067087,0.0700327443135925,0.35750192657657354,2.914983610932379,0.060588563425321,0.0015802345240429998,0.05749130375819673,0.06368582309244528,38.34150089970452
2010-07-19,0.159,0.15163333333333678,1.0485821059573297,0.7202583333333498,0.0,0.2494286571982077,0.304880718371197,0.014145018410408997,0.006261965125226,0.0018715667649660368,0.026418470055851958,2.258878503399089,0.212711728052919,0.072634679028556,0.07034775715694924,0.35507569894888874,2.928514738384005,0.06057486453831699,0.0015798680388660002,0.05747832318213963,0.06367140589449435,38.341724149186156
2010-07-20,0.165,0.15152222222222567,1.0889491823714643,0.7197305555555721,0.0,0.26039440319939755,0.305088529676291,0.014059197859040999,0.006261428433672,0.0017867981290438804,0.02633159758903812,2.245365895014527,0.21390081669783398,0.073489131864959,0.06986211824251434,0.3579395151531537,2.910645578054868,0.060580022243499,0.001580002747497,0.057483216858404886,0.06367682762859313,38.34171955678777
